Crop,State,Cost of Production C2 - 2013-14,Cost of Production C2 - 2014-15,Cost of Production C2 - 2015-16,Cost of Production C2 - 2016-17,Cost of Production C2 - 2017-18
Wheat,Gujarat,1114.27,1239.07,1253.87,1207.44,1358.31
Wheat,Haryana,1044.89,1240.99,1239.1,1192.13,1341.44
Wheat,Himachal Pradesh,1478.42,1750.37,1924.55,1837.77,1772.97
Wheat,Jharkhand,1027.56,1734.07,1424.39,1318.91,1791.24
Wheat,Karnataka,NA,2354.04,3861.93,3710.58,2233.98
Wheat,Madhya Pradesh,1074.73,1127.43,1222.47,1018.25,1109.88
Wheat,Maharashtra,1681.08,1992.76,2048.05,2088.53,2314.46
Wheat,Punjab,964.29,1081.84,1083.37,1102.62,1169.43
Wheat,Rajasthan,997.52,1156.25,1185.07,1172.27,1364.06
Wheat,Uttar Pradesh,1054.26,1502.89,1423.25,1260.47,1464.24
Wheat,Uttarakhand,942.13,1277.32,1203.15,1092.4,1432.22
Wheat,West Bengal,1404.88,1585.96,1949.51,1853.06,1541.29
